category,count
baby-food,2068
baking,1637
bread,1445
breakfast,1284
cakes,1168
canned-goods,1140
cereal,1133
cheese,1027
coffee-beans-wf,998
cookies-biscuit,978
culinary-ingredients,918
dairy-yogurt-drink,840
dressings,823
drink-coffee,707
drink-juice,689
drink-juice-wf,670
drink-shakes-other,654
drink-soft-energy-mixes,613
drink-tea,485
drink-water-wf,468
eggs-wf,459
ice-cream-dessert,416
jerky,408
mac-cheese,390
meat-packaged,381
meat-poultry-wf,375
milk-milk-substitute,374
muffins-bagels,366
nuts-seeds-wf,321
pasta-noodles,311
pastry-chocolate-candy,295
pizza,262
prepared-meals-dishes,259
produce-beans-wf,258
produce-packaged,256
pudding-jello,250
rice-grains-packaged,243
rice-grains-wf,213
rolls-buns-wraps,212
salad,211
sauce-all,202
sausage-bacon,179
seafood,159
seafood-wf,136
snacks-bars,135
snacks-chips,127
snacks-dips-salsa,126
snacks-mixes-crackers,125
snacks-nuts-seeds,113
snacks-popcorn,111
soup-stew,100
spices-seasoning,24
spread-squeeze,1
