category,word_salt_count,products_in_category
baby-food,6,124
baking,212,387
bread,800,697
breakfast,584,293
cakes,698,415
canned-goods,0,1
cereal,728,815
cheese,1195,997
coffee-beans-wf,0,117
cookies-biscuit,1611,1269
culinary-ingredients,148,252
dairy-yogurt-drink,170,832
dressings,845,603
drink-coffee,107,250
drink-juice,45,457
drink-juice-wf,0,124
drink-shakes-other,292,364
drink-soft-energy-mixes,28,210
drink-tea,14,161
drink-water-wf,0,22
eggs-wf,4,105
ice-cream-dessert,919,889
jerky,394,243
mac-cheese,767,209
meat-packaged,1657,968
meat-poultry-wf,11,311
milk-milk-substitute,180,398
muffins-bagels,317,259
nuts-seeds-wf,32,199
pasta-noodles,96,255
pastry-chocolate-candy,1362,1630
pizza,1916,373
prepared-meals-dishes,7183,2049
produce-beans-wf,29,1092
produce-packaged,1010,1132
pudding-jello,138,158
rice-grains-packaged,118,125
rice-grains-wf,0,112
rolls-buns-wraps,684,662
salad,536,132
sauce-all,1131,678
sausage-bacon,667,483
seafood,484,378
seafood-wf,12,99
snacks-bars,1712,1435
snacks-chips,1553,987
snacks-dips-salsa,636,446
snacks-mixes-crackers,1773,1129
snacks-nuts-seeds,398,364
snacks-popcorn,292,212
soup-stew,1213,635
spices-seasoning,159,245
spread-squeeze,202,303
