category,sum
baby-food,134614.28
baking,3528721.65
bread,3028930.97
breakfast,810618.85
cakes,5276014.07
canned-goods,0.0
cereal,13254971.81
cheese,1635101.61
coffee-beans-wf,0.0
cookies-biscuit,51019243.88
culinary-ingredients,1551040.94
dairy-yogurt-drink,6038911.43
dressings,3489549.39
drink-coffee,1333019.17
drink-juice,1932206.59
drink-juice-wf,146909.84
drink-shakes-other,1775657.65
drink-soft-energy-mixes,371972.06
drink-tea,240924.35
drink-water-wf,0.0
eggs-wf,14362.33
ice-cream-dessert,17842578.02
jerky,746155.76
mac-cheese,165839.65
meat-packaged,1712711.55
meat-poultry-wf,14201.62
milk-milk-substitute,929972.46
muffins-bagels,1115655.38
nuts-seeds-wf,707655.68
pasta-noodles,152545.07
pastry-chocolate-candy,109100056.57
pizza,430606.98
prepared-meals-dishes,14387987.43
produce-beans-wf,8415993.38
produce-packaged,11732099.87
pudding-jello,608542.46
rice-grains-packaged,19376.62
rice-grains-wf,7418.26
rolls-buns-wraps,2131659.16
salad,72283.54
sauce-all,4427516.57
sausage-bacon,642845.08
seafood,167678.83
seafood-wf,1234.59
snacks-bars,47088614.24
snacks-chips,4150222.63
snacks-dips-salsa,1131328.01
snacks-mixes-crackers,13593713.9
snacks-nuts-seeds,2004656.76
snacks-popcorn,402000.52
soup-stew,1225231.21
spices-seasoning,319477.57
spread-squeeze,2128012.16
