Ingredient,Count,Organic
sugar,10770,False
casein,24,False
whey protein,61,False
blueberry puree concentrate,12,False
strawberry puree concentrate,24,False
kosher gelatin,76,False
native corn starch,13,False
pectin,742,False
fruit and vegetable juice concentrate (for color,30,False
natural flavor,4605,False
locust bean gum,719,False
vitamin a acetate,85,False
vitamin d3,525,False
tricalcium phosphate.,6,False
our family recipe: cultured pasteurized organic whole milk,7,True
organic cane sugar,1203,True
organic peach puree,7,True
organic oat flour,45,True
organic natural flavor,127,True
l. bulgaricus,255,False
l. acidophilus,331,False
bifidus and l. paracasei,18,False
cultured pasteurized organic whole milk,13,True
organic banana puree,45,True
organic fruit and vegetable juice concentrates (color,6,True
almond milk (water,23,False
almonds,954,False
cane sugar,2175,False
strawberries,210,False
tapioca starch,790,False
bananas,35,False
xanthan gum,2667,False
citric acid,5042,False
live active cultures: s. thermophilus,42,False
bifidobacteria,18,False
sunflower lecithin,1021,False
baking powder (sodium acid pyrophosphate,294,False
sodium bicarbonate,1070,False
sea salt,5906,False
baking soda.,132,False
lactic acid,1441,False
glycerin,371,False
tricalcium phosphate,336,False
ascorbic acid,831,False
zinc gluconate,65,False
vitamin e acetate,55,False
niacinamide (vitamin b3,70,False
riboflavin (vitamin b2,396,False
thiamine hydrochloride (vitamin b1,19,False
organic strawberry puree,46,True
organic banana puree (organic bananas,8,True
water,12088,False
organic kale puree,9,True
organic amaranth flour,14,True
organic whole oat flour,14,True
organic ground chia seeds,12,True
organic lemon juice concentrate,161,True
organic blueberry puree,33,True
organic sweet potato puree,16,True
organic carrot puree,23,True
organic millet flour,18,True
organic natural vanilla flavor,18,True
vitamin d3.5 live active cultures: s. thermophilus,6,False
organic sweet potato,17,True
organic carrots,178,True
organic whole wheat flour,159,True
organic yellow split peas,5,True
organic strawberry flavor,5,True
live and active cultures,77,False
organic blueberry flavor,5,True
organic beet puree,13,True
<2% of: organic lemon juice concentrate,7,True
ascorbic acid (to preserve freshness,6,False
ingredients: organic banana puree,5,True
organic flax seed,15,True
organic chia,8,True
organic lime juice,47,True
ingredients: organic apple puree,13,True
organic cinnamon,127,True
organic pear puree,19,True
organic pumpkin puree,8,True
organic lemon juice,91,True
organic carrot,45,True
<1% of: organic lemon juice concentrate,9,True
vitamin c (ascorbic acid) to preserve freshness,7,False
organic apple puree,22,True
organic mango puree,22,True
vitamin c (ascorbic acid,145,False
organic spinach puree,15,True
organic butternut squash puree,7,True
organic peas,30,True
ascorbic acid (vitamin c,272,False
organic pumpkin,7,True
organic nutrient blend (organic tapioca fiber,10,True
nutrients derived from [spinach,10,False
squash seed,10,False
kelp,18,False
maitake mushroom,10,False
chlorella,11,False
sunflower seed,15,False
dha algal oil,16,False
organic whole grain rolled oats,29,True
choline bitartrate,30,False
organic high oleic sunflower oil,93,True
organic rosemary extract,39,True
tocopherols,44,False
ingredients: water,306,False
organic raisins,38,True
organic oat fiber,86,True
organic whole grain oats,18,True
organic mango,10,True
organic broccoli,54,True
organic pear,5,True
organic spinach,75,True
organic apple,30,True
organic sunflower seed butter,18,True
organic ground cinnamon,8,True
milled organic whole grain oats,5,True
organic raspberry puree,16,True
organic pea protein,72,True
ingredients: apple*,5,False
carrot*,57,False
beet*,12,False
ginger*,40,False
*organic,292,True
organic apple puree concentrate,17,True
organic carrot juice concentrate (color,12,True
organic strawberry purée,6,True
vitamin d3.6 live active cultures: s. thermophilus,13,False
l. paracasei and l. rhamnosus,22,False
organic quinoa flour,23,True
ascorbic acid (to maintain color,25,False
organic turmeric powder,11,True
ascorbic acid (to maintain color).,16,False
organic lemon juice concentrate.,22,True
organic banana,28,True
organic strawberry,9,True
organic blackcurrant,5,True
organic avocado oil,11,True
